Tag,Recipe,Quant,Size (GB),R@1,R@5,R@10,MRR@10,NDCG@5,NDCG@10,Slot-1 top-1 %,Kendall τ,Top-1 vs Teacher,Parse rate,ms/tok (p50),N eval
v4-9b-sft-B-vllm-guided,v4-9b-sft-B-vllm-guided,fp16,,0.279,0.728,1.000,0.482,0.515,0.604,0.146,0.675,0.547,1.000,,287
v4-9b-sft-B-w4a16-vllm-guided,v4-9b-sft-B-w4a16-vllm-guided,fp16,,0.282,0.746,1.000,0.476,0.516,0.600,0.178,0.675,0.578,1.000,,287
v4-gkd-guided-B-vllm-guided,v4-gkd-guided-B-vllm-guided,fp16,,0.293,0.760,1.000,0.492,0.535,0.612,0.227,0.666,0.568,1.000,,287
v4-gkd-guided-B-vllm-unguided,v4-gkd-guided-B-vllm-unguided,fp16,,0.261,0.711,0.951,0.459,0.497,0.576,0.223,0.668,0.544,0.951,,287
v4-sft-B-opt,v4-sft-B-opt,fp16,1.420,0.272,0.774,1.000,0.485,,,,0.676,0.533,1.000,,287
v4-sft-B-opt-vllm-guided,v4-sft-B-opt-vllm-guided,fp16,,0.275,0.780,1.000,0.486,0.538,0.608,0.143,0.675,0.537,1.000,,287
v4-9b-sft-B-w4a16,v4-9b-sft-B,w4a16,7.132,0.268,0.739,1.000,0.479,,,,0.683,0.564,1.000,,287
v4-sft-B-opt-w4a16,v4-sft-B-opt,w4a16,0.732,0.247,0.732,1.000,0.461,,,,0.661,0.502,1.000,,287
v4-9b-sft-B-nf4,v4-9b-sft-B,nf4,7.134,0.213,0.704,0.997,0.422,,,,0.568,0.460,0.997,,287
v4-sft-B-opt-nf4,v4-sft-B-opt,nf4,0.733,0.265,0.753,0.997,0.476,,,,0.664,0.495,0.997,,287
v4-9b-sft-B-gguf-q4km,v4-9b-sft-B,gguf-q4km,21.932,0.115,0.296,0.369,0.188,,,,0.607,0.153,0.369,,287
v4-9b-sft-B-gguf-q4km,v4-9b-sft-B,gguf-q4km,21.932,0.115,0.296,0.369,0.188,,,,0.607,0.153,0.369,,287
v4-sft-B-opt-gguf-q4km,v4-sft-B-opt,gguf-q4km,1.906,0.279,0.763,1.000,0.485,,,,0.667,0.526,1.000,,287
